,Percent Selected
National television,0.382285936374065
Local or regional television,0.3714190430405258
Search through Google or other search engines,0.3229698929251174
Television news website,0.2703699309569378
"Social media such as Facebook, Twitter, or Instagram",0.1824590462073299
Your local election office,0.18173823571463374
Your state election office,0.18093671482436052
Friends and family,0.15777458594525792
Radio,0.10611301022457939
"Print publications, such as newspapers or magazines",0.09085529574782922
Print publications news websites,0.0858428793190683
Blogs or online forums,0.045318547256713464
Podcasts,0.04058459973304512
Don't know/ no opinion,0.024470746714263376
I do not consume information about election results,0.01936435468241957
"Other, please specify",0.005695407478018467
